Embedding,Question_type,retrieved_col_used,k_eval,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7462137866057986,1.0,0.6,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7462137866057986,1.0,0.6,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.7371629361298916,1.0,0.8,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.14285714285714285,0.7884243456235575,1.0,1.0,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9594038642138902,1.0,1.0,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5967409351769444,1.0,0.4,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,1.0,1.0,1.0,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7233726122302209,1.0,0.6,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.25,0.3161248187712223,1.0,0.4,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.125,0.663060352260648,1.0,0.8,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.8351385756356474,1.0,1.0,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.6819207149295429,1.0,0.6,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7565323207720728,1.0,0.6,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.14285714285714285,0.8176032424587264,1.0,1.0,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8661592983290074,1.0,0.8,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5864224010106703,1.0,0.4,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8545079602778286,1.0,0.8,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.15979138559512832,1.0,0.2,200,25,0.125
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,1.0,1.0,1.0,200,25,0.125
