Embedding,Question_type,retrieved_col_used,k_eval,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8487148513495081,1.0,0.8,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6777118751863583,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.6819207149295429,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.16666666666666666,0.8045359887181521,1.0,1.0,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9630596906229134,1.0,1.0,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5967409351769444,1.0,0.4,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,1.0,1.0,1.0,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7395276212757309,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.25,0.3960205115687864,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.2,0.609006018713193,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.6819207149295429,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.6819207149295429,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8297418482395693,1.0,0.8,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.6487610063876911,1.0,0.8,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8773708888970287,1.0,0.8,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8545079602778286,1.0,0.8,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.15979138559512832,1.0,0.2,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9020243604942442,1.0,0.8,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7507392118437523,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7507392118437523,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.5728461252968097,1.0,0.4,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6045023477188619,1.0,0.4,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8184728412876568,1.0,0.8,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.8659318957024655,1.0,1.0,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7642937333139903,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.15979138559512832,1.0,0.2,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.3376844721420707,1.0,0.4,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.6994778023500862,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.25326335410655304,1.0,0.2,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.3333333333333333,0.6663180938082345,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.3333333333333333,0.5369732887386423,1.0,0.8,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.792949770861511,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.7896920293139245,1.0,0.8,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.792949770861511,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.8884480847803835,1.0,1.0,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9020243604942442,1.0,0.8,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.1111111111111111,0.359529961915571,1.0,0.6,200,10,0.05
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.15979138559512832,1.0,0.2,200,10,0.05
